text/value/type,text/value/coordinates/0,text/value/coordinates/1,text/id,text/key
Point,-2.22424489,49.21016549,1018471676168888320,Sun Jul 15 12:25:44 +0000 2018
Point,6.62359,46.51285,1018471718107668485,Sun Jul 15 12:25:54 +0000 2018
Point,-4.93754909,50.54133735,1018471777574547456,Sun Jul 15 12:26:08 +0000 2018
Point,4.8752298,45.0563507,1018471782242713600,Sun Jul 15 12:26:09 +0000 2018
Point,1.4443,43.6044,1018471811468709888,Sun Jul 15 12:26:16 +0000 2018
Point,2.2966737,48.87344148,1018471814585049088,Sun Jul 15 12:26:17 +0000 2018
Point,0.6,41.85,1018471825054060544,Sun Jul 15 12:26:20 +0000 2018
Point,3.16667,50.2333,1018471862995750912,Sun Jul 15 12:26:29 +0000 2018
Point,2.34910816,48.86352726,1018471866565120000,Sun Jul 15 12:26:29 +0000 2018
Point,-4.1,42.15,1018471884034150402,Sun Jul 15 12:26:34 +0000 2018
Point,3.8772,43.6119,1018471888849375232,Sun Jul 15 12:26:35 +0000 2018
Point,4.35,50.85,1018471891751890944,Sun Jul 15 12:26:35 +0000 2018
Point,-1,49,1018471903395237888,Sun Jul 15 12:26:38 +0000 2018
Point,7.08747458,50.72066654,1018471951822565376,Sun Jul 15 12:26:50 +0000 2018
Point,2.36031417,48.92423453,1018471988199919617,Sun Jul 15 12:26:58 +0000 2018
Point,2.34037665,48.87991704,1018471991500836866,Sun Jul 15 12:26:59 +0000 2018
Point,1.366667,50.066666,1018472001902731266,Sun Jul 15 12:27:02 +0000 2018
Point,2.3508,48.8567,1018472029274730499,Sun Jul 15 12:27:08 +0000 2018
Point,-1.4109,50.9262,1018472059503104002,Sun Jul 15 12:27:15 +0000 2018
Point,-4,50.35,1018472085608390657,Sun Jul 15 12:27:22 +0000 2018
Point,7.00613642,49.22613437,1018472137445859330,Sun Jul 15 12:27:34 +0000 2018
Point,-4.65,48.3667,1018472163022688256,Sun Jul 15 12:27:40 +0000 2018
Point,-3.60042254,50.53902161,1018472166612979713,Sun Jul 15 12:27:41 +0000 2018
Point,2.35149007,48.85700559,1018472184493297669,Sun Jul 15 12:27:45 +0000 2018
Point,3.2044586,50.6813059,1018472206161018880,Sun Jul 15 12:27:50 +0000 2018
Point,7.62474,45.22056,1018472208455176192,Sun Jul 15 12:27:51 +0000 2018
Point,5.93484879,43.6443364,1018472224007835649,Sun Jul 15 12:27:55 +0000 2018
Point,2.3508,48.8567,1018472240826994689,Sun Jul 15 12:27:59 +0000 2018
Point,1.470833,50.235,1018472252692672513,Sun Jul 15 12:28:01 +0000 2018
Point,-0.84523431,51.19702546,1018472259453898752,Sun Jul 15 12:28:03 +0000 2018
Point,-2.21552,46.96405,1018472261488140289,Sun Jul 15 12:28:04 +0000 2018
Point,2.32111111,48.81638889,1018472270858276865,Sun Jul 15 12:28:06 +0000 2018
Point,-0.73770871,50.87108083,1018472305180270592,Sun Jul 15 12:28:14 +0000 2018
Point,2.3024231,48.7294304,1018472311538835461,Sun Jul 15 12:28:16 +0000 2018
Point,1.43,43.6,1018472317624639490,Sun Jul 15 12:28:17 +0000 2018
Point,5.93484879,43.6443364,1018472318585229314,Sun Jul 15 12:28:17 +0000 2018
Point,-4,50.35,1018472323417100288,Sun Jul 15 12:28:18 +0000 2018
Point,-0.1313,50.8429,1018472338944167937,Sun Jul 15 12:28:22 +0000 2018
Point,5.76989818,50.94612521,1018472355683815426,Sun Jul 15 12:28:26 +0000 2018
Point,4.8362142,45.76812083,1018472381751484417,Sun Jul 15 12:28:32 +0000 2018
Point,-0.8904552,51.2576996,1018472393973493760,Sun Jul 15 12:28:35 +0000 2018
Point,-0.16278969,45.6005639,1018472408821436416,Sun Jul 15 12:28:39 +0000 2018
Point,4.02984333,43.55581024,1018472409937141760,Sun Jul 15 12:28:39 +0000 2018
Point,-3.5,50.45,1018472415234543616,Sun Jul 15 12:28:40 +0000 2018
Point,-0.5783,44.8386,1018472415427485696,Sun Jul 15 12:28:40 +0000 2018
Point,6.8813753,48.1699981,1018472438131253248,Sun Jul 15 12:28:46 +0000 2018
Point,3.16667,50.7,1018472466782543872,Sun Jul 15 12:28:53 +0000 2018
Point,2.3602573,48.87197876,1018472473065607169,Sun Jul 15 12:28:54 +0000 2018
Point,-3.56667,42.9333,1018472485006823424,Sun Jul 15 12:28:57 +0000 2018
Point,6.01667,43.1167,1018472493559017473,Sun Jul 15 12:28:59 +0000 2018
Point,-1.65972222,43.39027778,1018472541864775680,Sun Jul 15 12:29:10 +0000 2018
Point,6.78333,49.15,1018472566200074240,Sun Jul 15 12:29:16 +0000 2018
Point,2.35196095,48.84558852,1018472606159126528,Sun Jul 15 12:29:26 +0000 2018
Point,-1.76789087,50.87394042,1018472638740684801,Sun Jul 15 12:29:34 +0000 2018
Point,4.32444,50.865,1018472669883363328,Sun Jul 15 12:29:41 +0000 2018
Point,-1.98333,43.3167,1018472696395517952,Sun Jul 15 12:29:47 +0000 2018
Point,4.8422,45.7597,1018472698677166081,Sun Jul 15 12:29:48 +0000 2018
Point,5.769898,50.946125,1018472722760912896,Sun Jul 15 12:29:54 +0000 2018
Point,-3.5258624,50.46103407,1018472736136552449,Sun Jul 15 12:29:57 +0000 2018
Point,-0.17972222,50.93638889,1018472737944285184,Sun Jul 15 12:29:57 +0000 2018
Point,2.3508,48.8567,1018472758353776640,Sun Jul 15 12:30:02 +0000 2018
Point,-1.85726,51.18482,1018472760530497536,Sun Jul 15 12:30:03 +0000 2018
Point,1.61667,50.7667,1018472760601817088,Sun Jul 15 12:30:03 +0000 2018
Point,5.05138889,43.91944444,1018472795741794304,Sun Jul 15 12:30:11 +0000 2018
Point,5.79936,50.86923,1018472818676195328,Sun Jul 15 12:30:16 +0000 2018
Point,3.0858,45.7784,1018472819167055872,Sun Jul 15 12:30:17 +0000 2018
Point,0.585378,50.855125,1018472830160207872,Sun Jul 15 12:30:19 +0000 2018
Point,7.62474,45.22056,1018472855372214274,Sun Jul 15 12:30:25 +0000 2018
Point,4.0347,49.2628,1018472885474742272,Sun Jul 15 12:30:32 +0000 2018
Point,-1.85726,51.18482,1018472926167949312,Sun Jul 15 12:30:42 +0000 2018
Point,-0.03755434,51.05494082,1018472956329066496,Sun Jul 15 12:30:49 +0000 2018
Point,2.3387,48.8582,1018472964667265024,Sun Jul 15 12:30:51 +0000 2018
Point,6.58907243,46.40174693,1018472969792712706,Sun Jul 15 12:30:52 +0000 2018
Point,2.23816395,48.8966889,1018472987119554560,Sun Jul 15 12:30:57 +0000 2018
Point,4.35,50.85,1018473009617571840,Sun Jul 15 12:31:02 +0000 2018
Point,-3.1467868,50.97593251,1018473106703187968,Sun Jul 15 12:31:25 +0000 2018
Point,-0.5783,44.8386,1018473118631747584,Sun Jul 15 12:31:28 +0000 2018
Point,3.55917801,49.0053474,1018473125816791041,Sun Jul 15 12:31:30 +0000 2018
Point,4.7,50.8833,1018473134901645312,Sun Jul 15 12:31:32 +0000 2018
Point,2.3508,48.8567,1018473150353412096,Sun Jul 15 12:31:36 +0000 2018
Point,7.28017815,43.70094744,1018473155273396224,Sun Jul 15 12:31:37 +0000 2018
Point,2.10833333,48.80805556,1018473199112093696,Sun Jul 15 12:31:47 +0000 2018
Point,-1.56667,43.4833,1018473230263349249,Sun Jul 15 12:31:55 +0000 2018
Point,2.354,48.872,1018473254275538947,Sun Jul 15 12:32:00 +0000 2018
Point,3.25844599,50.59498264,1018473281664544768,Sun Jul 15 12:32:07 +0000 2018
Point,1.89377,49.0056,1018473313285226496,Sun Jul 15 12:32:14 +0000 2018
Point,-3.89378327,43.4736828,1018473366053969921,Sun Jul 15 12:32:27 +0000 2018
Point,-5.699,50.126537,1018473371200311296,Sun Jul 15 12:32:28 +0000 2018
Point,-5.05449,43.308,1018473377420513280,Sun Jul 15 12:32:30 +0000 2018
Point,7.2663,43.7034,1018473382512390144,Sun Jul 15 12:32:31 +0000 2018
Point,1.4439,43.60393,1018473396315701248,Sun Jul 15 12:32:34 +0000 2018
Point,-2.82334701,50.72243587,1018473409729032192,Sun Jul 15 12:32:37 +0000 2018
Point,3.03461746,42.82309911,1018473448815804416,Sun Jul 15 12:32:47 +0000 2018
Point,2.33436,48.88003,1018473471204966401,Sun Jul 15 12:32:52 +0000 2018
Point,1.583333,50.516666,1018473510052585472,Sun Jul 15 12:33:01 +0000 2018
Point,2.31496671,48.8717828,1018473555061862400,Sun Jul 15 12:33:12 +0000 2018
Point,-4.03333,50.3167,1018473564314456064,Sun Jul 15 12:33:14 +0000 2018
Point,2.48108,42.32046,1018473568097562625,Sun Jul 15 12:33:15 +0000 2018
Point,3.2,42.3333,1018473599471144960,Sun Jul 15 12:33:23 +0000 2018
Point,-1.96772985,51.84557359,1018473606463049728,Sun Jul 15 12:33:24 +0000 2018
Point,3.39154913,47.98264355,1018473608308543488,Sun Jul 15 12:33:25 +0000 2018
Point,7.75,48.5833,1018473632643932160,Sun Jul 15 12:33:31 +0000 2018
Point,2.3387,48.8582,1018473642248699904,Sun Jul 15 12:33:33 +0000 2018
Point,-0.140483,50.824142,1018473661425217536,Sun Jul 15 12:33:37 +0000 2018
Point,-0.73770871,50.87108083,1018473663555883009,Sun Jul 15 12:33:38 +0000 2018
Point,3.02388889,42.54611111,1018473667141996544,Sun Jul 15 12:33:39 +0000 2018
