text/value/0/0/0,text/value/0/0/1,text/value/0/1/0,text/value/0/1/1,text/value/0/2/0,text/value/0/2/1,text/value/0/3/0,text/value/0/3/1,text/id,text/key
2.54564,49.497266,2.54564,51.505081,6.407907,51.505081,6.407907,49.497266,1012349901911543808,Thu Jun 28 14:59:59 +0000 2018
4.640395,50.824111,4.640395,50.943981,4.770378,50.943981,4.770378,50.824111,1012349934048350210,Thu Jun 28 15:00:07 +0000 2018
5.644533,50.589897,5.644533,50.645082,5.716472,50.645082,5.716472,50.589897,1012349965954404352,Thu Jun 28 15:00:15 +0000 2018
5.758139,50.946493,5.758139,51.07281,5.905556,51.07281,5.905556,50.946493,1012349967015477253,Thu Jun 28 15:00:15 +0000 2018
3.240541,50.839536,3.240541,50.879955,3.301619,50.879955,3.301619,50.839536,1012350000142192642,Thu Jun 28 15:00:23 +0000 2018
3.384054,50.09933,3.384054,50.13899,3.451481,50.13899,3.451481,50.09933,1012350003501813760,Thu Jun 28 15:00:24 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012350018945273856,Thu Jun 28 15:00:27 +0000 2018
3.051561,50.349225,3.051561,50.410651,3.149405,50.410651,3.149405,50.349225,1012350023479291904,Thu Jun 28 15:00:28 +0000 2018
4.347678,50.352753,4.347678,50.492672,4.507618,50.492672,4.507618,50.352753,1012350025832247296,Thu Jun 28 15:00:29 +0000 2018
3.579764,50.979531,3.579764,51.187961,3.84936,51.187961,3.84936,50.979531,1012350043666419714,Thu Jun 28 15:00:33 +0000 2018
3.016796,50.600805,3.016796,50.657143,3.126381,50.657143,3.126381,50.600805,1012350080119173120,Thu Jun 28 15:00:42 +0000 2018
-5.141593,41.364659,-5.141593,51.088771,9.559831,51.088771,9.559831,41.364659,1012350112281120769,Thu Jun 28 15:00:49 +0000 2018
3.579764,50.979531,3.579764,51.187961,3.84936,51.187961,3.84936,50.979531,1012350131822317569,Thu Jun 28 15:00:54 +0000 2018
5.974847,50.662144,5.974847,50.85723,6.218106,50.85723,6.218106,50.662144,1012350158250618880,Thu Jun 28 15:01:00 +0000 2018
4.387585,50.852188,4.387585,50.885985,4.426451,50.885985,4.426451,50.852188,1012350162407231488,Thu Jun 28 15:01:01 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012350284050419712,Thu Jun 28 15:01:30 +0000 2018
3.134113,51.158168,3.134113,51.363298,3.310214,51.363298,3.310214,51.158168,1012350313439944704,Thu Jun 28 15:01:37 +0000 2018
3.267325,50.818058,3.267325,50.907106,3.350135,50.907106,3.350135,50.818058,1012350329743200256,Thu Jun 28 15:01:41 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012350329969676288,Thu Jun 28 15:01:41 +0000 2018
