text/value/type,text/value/coordinates/0,text/value/coordinates/1,text/id,text/key
Point,-74.03429981,4.74098127,1012331616067313664,Thu Jun 28 13:47:20 +0000 2018
Point,-74.03203351,4.69613154,1012331833915265025,Thu Jun 28 13:48:12 +0000 2018
Point,-74.0794,4.5997,1012331836779958272,Thu Jun 28 13:48:12 +0000 2018
Point,-74.0794,4.5997,1012331843134394368,Thu Jun 28 13:48:14 +0000 2018
Point,-74.0751672,4.60091472,1012331892115431424,Thu Jun 28 13:48:25 +0000 2018
Point,-76.34738445,3.4106122,1012331901279928320,Thu Jun 28 13:48:28 +0000 2018
Point,-76.5225,3.43722,1012332004061442049,Thu Jun 28 13:48:52 +0000 2018
Point,-75.5751,6.2359,1012332048370098177,Thu Jun 28 13:49:03 +0000 2018
Point,-74.0401589,4.7259352,1012332053142966277,Thu Jun 28 13:49:04 +0000 2018
Point,-74.05096089,4.66536824,1012332058511896577,Thu Jun 28 13:49:05 +0000 2018
Point,-75.6993,4.8141,1012332126237323264,Thu Jun 28 13:49:21 +0000 2018
Point,-74.0846133,4.64715778,1012332205438164999,Thu Jun 28 13:49:40 +0000 2018
Point,-72.3993,5.3483,1012332206537179136,Thu Jun 28 13:49:40 +0000 2018
Point,-74.082,4.60987,1012332213042667525,Thu Jun 28 13:49:42 +0000 2018
Point,-75.5761819,6.2427163,1012332410703417347,Thu Jun 28 13:50:29 +0000 2018
Point,-74.0167,4.88333,1012332464122015745,Thu Jun 28 13:50:42 +0000 2018
Point,-75.6036,4.9825,1012332526369738754,Thu Jun 28 13:50:57 +0000 2018
Point,-74.06301141,4.64618259,1012332577997447169,Thu Jun 28 13:51:09 +0000 2018
Point,-74.04614117,4.70095098,1012332589342969857,Thu Jun 28 13:51:12 +0000 2018
Point,-73.916667,3.816667,1012332714240958464,Thu Jun 28 13:51:41 +0000 2018
Point,-74.05938,4.67122,1012332775880478721,Thu Jun 28 13:51:56 +0000 2018
Point,-74.06870186,4.62684178,1012332898475749376,Thu Jun 28 13:52:25 +0000 2018
Point,-74.10034722,4.63277674,1012332955958759425,Thu Jun 28 13:52:39 +0000 2018
Point,-75.5751,6.2359,1012332969258897409,Thu Jun 28 13:52:42 +0000 2018
Point,-74.0794,4.5997,1012333007728869376,Thu Jun 28 13:52:51 +0000 2018
Point,-74.75,5.2,1012333010568536064,Thu Jun 28 13:52:52 +0000 2018
Point,-74.0485471,4.67679249,1012333012309168128,Thu Jun 28 13:52:53 +0000 2018
Point,-74.0794,4.5997,1012333035788828673,Thu Jun 28 13:52:58 +0000 2018
Point,-76.26833333,1.87916667,1012333208984141824,Thu Jun 28 13:53:39 +0000 2018
Point,-76.5205273,3.3810353,1012333237442678786,Thu Jun 28 13:53:46 +0000 2018
Point,-75.2177,4.4336,1012333254475747328,Thu Jun 28 13:53:50 +0000 2018
Point,-74.10071241,4.63634893,1012333257348673536,Thu Jun 28 13:53:51 +0000 2018
Point,-76.5225,3.43722,1012333295626014720,Thu Jun 28 13:54:00 +0000 2018
Point,-74.22174314,4.71355559,1012333301946900480,Thu Jun 28 13:54:02 +0000 2018
Point,-73.916667,3.816667,1012333304140517379,Thu Jun 28 13:54:02 +0000 2018
Point,-74.04671,4.69353,1012333356510597122,Thu Jun 28 13:54:15 +0000 2018
Point,-74.05165132,4.66661475,1012333523942899712,Thu Jun 28 13:54:55 +0000 2018
Point,-74.03622011,4.86564168,1012333525599543296,Thu Jun 28 13:54:55 +0000 2018
Point,-76.5225,3.43722,1012333826142556160,Thu Jun 28 13:56:07 +0000 2018
Point,-74.05519009,4.67840161,1012333940072419329,Thu Jun 28 13:56:34 +0000 2018
Point,-74.082,4.60987,1012334045211086849,Thu Jun 28 13:56:59 +0000 2018
Point,-74.05402601,4.66738764,1012334094477389824,Thu Jun 28 13:57:11 +0000 2018
Point,-75.5751,6.2359,1012334126853222401,Thu Jun 28 13:57:18 +0000 2018
Point,-75.3889,6.15528,1012334127314604033,Thu Jun 28 13:57:18 +0000 2018
Point,-75.69373398,4.80179202,1012334139687735296,Thu Jun 28 13:57:21 +0000 2018
Point,-75.50260925,6.05719137,1012334223435403271,Thu Jun 28 13:57:41 +0000 2018
Point,-74.0794,4.5997,1012334335029075968,Thu Jun 28 13:58:08 +0000 2018
Point,-73.6733,7.01111,1012334444324315136,Thu Jun 28 13:58:34 +0000 2018
Point,-76.6611,5.69472,1012334474045083649,Thu Jun 28 13:58:41 +0000 2018
Point,-75.6993,4.8141,1012334487294959617,Thu Jun 28 13:58:44 +0000 2018
Point,-74.082,4.60987,1012334510510411776,Thu Jun 28 13:58:50 +0000 2018
Point,-74.0666914,4.73305185,1012334612507451392,Thu Jun 28 13:59:14 +0000 2018
Point,-74.12,4.66,1012334662687997955,Thu Jun 28 13:59:26 +0000 2018
Point,-75.56675277,6.26504197,1012334684544659456,Thu Jun 28 13:59:31 +0000 2018
Point,-74.0794,4.5997,1012334687598120960,Thu Jun 28 13:59:32 +0000 2018
Point,-74.0794,4.5997,1012334708812865536,Thu Jun 28 13:59:37 +0000 2018
Point,-74.0794,4.5997,1012334723618787328,Thu Jun 28 13:59:41 +0000 2018
Point,-74.0794,4.5997,1012334738181419008,Thu Jun 28 13:59:44 +0000 2018
Point,-76.53605712,3.45595729,1012334791704788992,Thu Jun 28 13:59:57 +0000 2018
Point,-74.08784866,4.73582114,1012334798231269376,Thu Jun 28 13:59:58 +0000 2018
Point,-75.3889,6.15528,1012334808649883648,Thu Jun 28 14:00:01 +0000 2018
Point,-74.0794,4.5997,1012334831777337346,Thu Jun 28 14:00:06 +0000 2018
Point,-75.51738,5.067006,1012334847199567873,Thu Jun 28 14:00:10 +0000 2018
Point,-74.07128081,4.7187124,1012334932419600386,Thu Jun 28 14:00:30 +0000 2018
Point,-74.05402601,4.66738764,1012334992201080832,Thu Jun 28 14:00:45 +0000 2018
Point,-74.0794,4.5997,1012335035985420288,Thu Jun 28 14:00:55 +0000 2018
Point,-74.0794,4.5997,1012335050086666240,Thu Jun 28 14:00:58 +0000 2018
Point,-74.0794,4.5997,1012335055878938624,Thu Jun 28 14:01:00 +0000 2018
Point,-75.5751,6.2359,1012335070408069121,Thu Jun 28 14:01:03 +0000 2018
Point,-74.0794,4.5997,1012335131502305282,Thu Jun 28 14:01:18 +0000 2018
Point,-76.54549542,3.34051953,1012335146199146499,Thu Jun 28 14:01:21 +0000 2018
Point,-74.0794,4.5997,1012335208996245505,Thu Jun 28 14:01:36 +0000 2018
Point,-74.05402601,4.66738764,1012335293276581891,Thu Jun 28 14:01:56 +0000 2018
Point,-74.0794,4.5997,1012335306480279553,Thu Jun 28 14:02:00 +0000 2018
Point,-73.916667,3.816667,1012335373584871424,Thu Jun 28 14:02:16 +0000 2018
Point,-74.07768312,4.64592033,1012335418627502086,Thu Jun 28 14:02:26 +0000 2018
Point,-74.0794,4.5997,1012335428047908864,Thu Jun 28 14:02:28 +0000 2018
Point,-75.5751,6.2359,1012335440626634753,Thu Jun 28 14:02:31 +0000 2018
Point,-75.56761,6.20882,1012335806403563522,Thu Jun 28 14:03:59 +0000 2018
Point,-75.48940353,5.05346456,1012335851660070912,Thu Jun 28 14:04:09 +0000 2018
Point,-74.0794,4.5997,1012335855107653633,Thu Jun 28 14:04:10 +0000 2018
Point,-75.5655899,6.209661,1012335904122384384,Thu Jun 28 14:04:22 +0000 2018
Point,-76.5225,3.43722,1012335908790521856,Thu Jun 28 14:04:23 +0000 2018
Point,-75.57472313,6.2450931,1012335930169061376,Thu Jun 28 14:04:28 +0000 2018
Point,-74.3755276,4.327303,1012335951492845569,Thu Jun 28 14:04:33 +0000 2018
Point,-74.0794,4.5997,1012335958870646784,Thu Jun 28 14:04:35 +0000 2018
Point,-75.6719,4.5357,1012335973668151296,Thu Jun 28 14:04:39 +0000 2018
Point,-75.54846997,5.09363001,1012336005607718912,Thu Jun 28 14:04:46 +0000 2018
Point,-74.05864,4.65088,1012336020627415041,Thu Jun 28 14:04:50 +0000 2018
Point,-74.06878352,4.60400585,1012336103024709632,Thu Jun 28 14:05:09 +0000 2018
Point,-74.05547184,4.60548723,1012336120972136448,Thu Jun 28 14:05:14 +0000 2018
Point,-75.5751,6.2359,1012336151586226177,Thu Jun 28 14:05:21 +0000 2018
Point,-74.0794,4.5997,1012336181726646274,Thu Jun 28 14:05:28 +0000 2018
Point,-74.08499479,4.6391141,1012336245396201473,Thu Jun 28 14:05:43 +0000 2018
Point,-74.1112247,4.72248792,1012336448966668295,Thu Jun 28 14:06:32 +0000 2018
Point,-74.02303313,4.74235932,1012336542097035264,Thu Jun 28 14:06:54 +0000 2018
Point,-75.55933784,6.19718112,1012336552259694597,Thu Jun 28 14:06:57 +0000 2018
Point,-76.5225,3.43722,1012336650964340739,Thu Jun 28 14:07:20 +0000 2018
Point,-74.0794,4.5997,1012336672485396481,Thu Jun 28 14:07:25 +0000 2018
Point,-74.0794,4.5997,1012336750805639168,Thu Jun 28 14:07:44 +0000 2018
Point,-74.09192562,4.62666654,1012336760033071105,Thu Jun 28 14:07:46 +0000 2018
Point,-73.51162751,6.69822488,1012336799820087297,Thu Jun 28 14:07:56 +0000 2018
Point,-73.6733,7.01111,1012336812684001280,Thu Jun 28 14:07:59 +0000 2018
Point,-75.73361111,5.96083333,1012336826579849217,Thu Jun 28 14:08:02 +0000 2018
Point,-74.03508756,4.88433906,1012336923791253504,Thu Jun 28 14:08:25 +0000 2018
Point,-74.14365968,4.69900136,1012336960994729990,Thu Jun 28 14:08:34 +0000 2018
Point,-74.05417,4.66034,1012336980087062528,Thu Jun 28 14:08:39 +0000 2018
Point,-75.3889,6.15528,1012337022793670656,Thu Jun 28 14:08:49 +0000 2018
Point,-75.2177,4.4336,1012337067198689280,Thu Jun 28 14:08:59 +0000 2018
Point,-74.0687037,4.59567946,1012337162828648449,Thu Jun 28 14:09:22 +0000 2018
Point,-74.0560596,4.6552137,1012337220655579137,Thu Jun 28 14:09:36 +0000 2018
Point,-74.1010163,4.73833574,1012337300485890054,Thu Jun 28 14:09:55 +0000 2018
Point,-74.05377934,4.66849869,1012337339149049856,Thu Jun 28 14:10:04 +0000 2018
Point,-76.5225,3.4372,1012337373084962817,Thu Jun 28 14:10:12 +0000 2018
Point,-74.0794,4.5997,1012337412180201473,Thu Jun 28 14:10:22 +0000 2018
Point,-74.0794,4.5997,1012337443993997312,Thu Jun 28 14:10:29 +0000 2018
Point,-74.20122835,4.5965473,1012337452932042753,Thu Jun 28 14:10:31 +0000 2018
Point,-75.2177,4.4336,1012337503993516032,Thu Jun 28 14:10:43 +0000 2018
Point,-76.5225,3.43722,1012337516161257473,Thu Jun 28 14:10:46 +0000 2018
Point,-74.09373,4.63219,1012337521915826176,Thu Jun 28 14:10:48 +0000 2018
Point,-74.0794,4.5997,1012337548197351425,Thu Jun 28 14:10:54 +0000 2018
Point,-74.0563346,4.65654372,1012337592736583680,Thu Jun 28 14:11:05 +0000 2018
Point,-76.53581,3.43774,1012337671170154497,Thu Jun 28 14:11:23 +0000 2018
Point,-75.5031,6.05861,1012337834026418177,Thu Jun 28 14:12:02 +0000 2018
Point,-76.5225,3.43722,1012337868503683072,Thu Jun 28 14:12:10 +0000 2018
Point,-74.082,4.60987,1012337946387734528,Thu Jun 28 14:12:29 +0000 2018
Point,-74.0794,4.5997,1012337992780873728,Thu Jun 28 14:12:40 +0000 2018
Point,-75.5751,6.2359,1012338264475398145,Thu Jun 28 14:13:45 +0000 2018
Point,-74.06797886,4.65512237,1012338390480629761,Thu Jun 28 14:14:15 +0000 2018
Point,-75.6036,4.9825,1012338528074813440,Thu Jun 28 14:14:48 +0000 2018
Point,-74.0794,4.5997,1012338659432062976,Thu Jun 28 14:15:19 +0000 2018
Point,-74.03261,4.7024,1012338744421244929,Thu Jun 28 14:15:39 +0000 2018
Point,-74.05522,4.6859875,1012338922322649091,Thu Jun 28 14:16:22 +0000 2018
Point,-75.51738,5.067006,1012338982045343746,Thu Jun 28 14:16:36 +0000 2018
Point,-73.94654065,4.40578512,1012339030841856000,Thu Jun 28 14:16:47 +0000 2018
Point,-74.0794,4.5997,1012339465883246592,Thu Jun 28 14:18:31 +0000 2018
Point,-74.0794,4.5997,1012339537140436992,Thu Jun 28 14:18:48 +0000 2018
Point,-76.5225,3.43722,1012339711879282688,Thu Jun 28 14:19:30 +0000 2018
Point,-75.5751,6.2359,1012339717327556608,Thu Jun 28 14:19:31 +0000 2018
Point,-74.1718726,4.6273365,1012339743344951297,Thu Jun 28 14:19:37 +0000 2018
Point,-74.04222182,4.68143475,1012339895405199360,Thu Jun 28 14:20:14 +0000 2018
Point,-74.0666914,4.73305185,1012339924996149248,Thu Jun 28 14:20:21 +0000 2018
Point,-75.6946,4.8143,1012339925839237123,Thu Jun 28 14:20:21 +0000 2018
Point,-74.0794,4.5997,1012340384641449985,Thu Jun 28 14:22:10 +0000 2018
